R a alpha
+9.5500e+00 +1.3158e-01 +2.4866e+00
+9.5500e+00 +1.5789e-01 +2.4825e+00
+9.5500e+00 +1.8421e-01 +2.4776e+00
+9.5500e+00 +2.1053e-01 +2.4720e+00
+9.5500e+00 +2.3684e-01 +2.4656e+00
+9.5500e+00 +2.6316e-01 +2.4584e+00
+9.5500e+00 +2.8947e-01 +2.4505e+00
+9.5500e+00 +3.1579e-01 +2.4417e+00
+9.5500e+00 +3.4211e-01 +2.4321e+00
+9.5500e+00 +3.6842e-01 +2.4216e+00
+9.5500e+00 +3.9474e-01 +2.4103e+00
+9.5500e+00 +4.2105e-01 +2.3982e+00
+9.5500e+00 +4.4737e-01 +2.3851e+00
+9.5500e+00 +4.7368e-01 +2.3712e+00
+9.5500e+00 +5.0000e-01 +2.3563e+00
+1.0000e+01 +0.0000e+00 +2.6134e+00
+1.0000e+01 +2.6316e-02 +2.6130e+00
+1.0000e+01 +5.2632e-02 +2.6119e+00
+1.0000e+01 +7.8947e-02 +2.6099e+00
+1.0000e+01 +1.0526e-01 +2.6072e+00
+1.0000e+01 +1.3158e-01 +2.6037e+00
+1.0000e+01 +1.5789e-01 +2.5995e+00
+1.0000e+01 +1.8421e-01 +2.5944e+00
+1.0000e+01 +2.1053e-01 +2.5885e+00
+1.0000e+01 +2.3684e-01 +2.5818e+00
+1.0000e+01 +2.6316e-01 +2.5743e+00
+1.0000e+01 +2.8947e-01 +2.5659e+00
+1.0000e+01 +3.1579e-01 +2.5567e+00
+1.0000e+01 +3.4211e-01 +2.5466e+00
+1.0000e+01 +3.6842e-01 +2.5357e+00
+1.0000e+01 +3.9474e-01 +2.5239e+00
+1.0000e+01 +4.2105e-01 +2.5111e+00
+1.0000e+01 +4.4737e-01 +2.4974e+00
+1.0000e+01 +4.7368e-01 +2.4828e+00
+1.0000e+01 +5.0000e-01 +2.4672e+00
