x y Vx Vy V V1 V2 V3 V4
-1.92e+00 +1.68e+00 +2.71e-15 -2.71e-15 +2.72e-15 +1.34e-25 +8.92e-39 +4.66e-23 +2.71e-15
-1.92e+00 +1.76e+00 +3.16e-16 -3.16e-16 +3.17e-16 +2.87e-26 +2.73e-40 +1.43e-24 +3.16e-16
-1.92e+00 +1.84e+00 +3.25e-17 -3.25e-17 +3.25e-17 +5.29e-27 +7.15e-42 +3.74e-26 +3.25e-17
-1.92e+00 +1.92e+00 +2.94e-18 -2.94e-18 +2.94e-18 +8.36e-28 +1.60e-43 +8.36e-28 +2.94e-18
-1.92e+00 +2.00e+00 +2.33e-19 -2.33e-19 +2.33e-19 +1.13e-28 +3.05e-45 +1.60e-29 +2.33e-19
-1.84e+00 -2.00e+00 -2.65e-18 -2.65e-18 +2.65e-18 +1.36e-43 +5.07e-27 +2.65e-18 +1.01e-28
-1.84e+00 -1.92e+00 -3.25e-17 -3.25e-17 +3.25e-17 +7.15e-42 +3.74e-26 +3.25e-17 +5.29e-27
-1.84e+00 -1.84e+00 -3.50e-16 -3.50e-16 +3.49e-16 +3.20e-40 +2.37e-25 +3.50e-16 +2.37e-25
-1.84e+00 -1.76e+00 -3.31e-15 -3.31e-15 +3.31e-15 +1.22e-38 +1.28e-24 +3.31e-15 +9.03e-24
-1.84e+00 -1.68e+00 -2.75e-14 -2.75e-14 +2.76e-14 +4.00e-37 +5.98e-24 +2.75e-14 +2.95e-22
-1.84e+00 -1.60e+00 -2.02e-13 -2.02e-13 +2.03e-13 +1.11e-35 +2.40e-23 +2.02e-13 +8.20e-21
-1.84e+00 -1.52e+00 -1.32e-12 -1.32e-12 +1.32e-12 +2.65e-34 +8.29e-23 +1.32e-12 +1.95e-19
-1.84e+00 -1.44e+00 -7.59e-12 -7.59e-12 +7.59e-12 +5.39e-33 +2.47e-22 +7.59e-12 +3.96e-18
-1.84e+00 -1.36e+00 -3.89e-11 -3.89e-11 +3.89e-11 +9.36e-32 +6.40e-22 +3.89e-11 +6.87e-17
-1.84e+00 -1.28e+00 -1.78e-10 -1.78e-10 +1.78e-10 +1.39e-30 +1.44e-21 +1.78e-10 +1.02e-15
-1.84e+00 -1.20e+00 -7.26e-10 -7.26e-10 +7.25e-10 +1.77e-29 +2.83e-21 +7.26e-10 +1.29e-14
-1.84e+00 -1.12e+00 -2.66e-09 -2.66e-09 +2.66e-09 +1.92e-28 +4.90e-21 +2.66e-09 +1.40e-13
-1.84e+00 -1.04e+00 -8.73e-09 -8.74e-09 +8.74e-09 +1.78e-27 +7.51e-21 +8.74e-09 +1.30e-12
-1.84e+00 -9.60e-01 -2.59e-08 -2.59e-08 +2.59e-08 +1.42e-26 +1.04e-20 +2.59e-08 +1.03e-11
