wl n k a
9.25000e+02 1.32314e+00 1.05972e-06 1.43965e+01
9.29000e+02 1.32305e+00 1.36833e-06 1.85091e+01
9.35000e+02 1.32293e+00 1.77088e-06 2.38006e+01
9.40000e+02 1.32284e+00 2.16915e-06 2.89983e+01
9.44000e+02 1.32276e+00 2.55735e-06 3.40430e+01
9.51000e+02 1.32263e+00 2.93218e-06 3.87453e+01
9.55000e+02 1.32255e+00 3.19000e-06 4.19756e+01
9.59000e+02 1.32246e+00 3.35807e-06 4.40029e+01
9.66000e+02 1.32233e+00 3.46410e-06 4.50633e+01
9.71000e+02 1.32225e+00 3.50179e-06 4.53190e+01
9.75000e+02 1.32217e+00 3.48009e-06 4.48534e+01
9.79000e+02 1.32208e+00 3.41814e-06 4.38750e+01
9.84000e+02 1.32199e+00 3.33649e-06 4.26093e+01
9.91000e+02 1.32187e+00 3.25305e-06 4.12502e+01
9.95000e+02 1.32178e+00 3.13105e-06 3.95437e+01
1.00000e+03 1.32170e+00 2.99979e-06 3.76964e+01
1.01000e+03 1.32152e+00 2.68776e-06 3.34410e+01
1.02000e+03 1.32130e+00 2.35229e-06 2.89801e+01
1.03000e+03 1.32113e+00 2.00074e-06 2.44097e+01
1.04000e+03 1.32095e+00 1.69001e-06 2.04205e+01
1.05000e+03 1.32078e+00 1.41935e-06 1.69868e+01
1.06000e+03 1.32060e+00 1.29894e-06 1.53991e+01
1.07000e+03 1.32042e+00 1.25890e-06 1.47848e+01
1.08000e+03 1.32023e+00 1.32859e-06 1.54588e+01
1.09000e+03 1.32005e+00 1.49862e-06 1.72772e+01
1.10000e+03 1.31987e+00 1.70840e-06 1.95167e+01
1.11000e+03 1.31968e+00 2.03840e-06 2.30769e+01
1.12000e+03 1.31949e+00 2.62839e-06 2.94905e+01
1.13000e+03 1.31930e+00 3.86892e-06 4.30251e+01
1.14000e+03 1.31910e+00 5.95100e-06 6.55987e+01
1.15000e+03 1.31891e+00 9.30647e-06 1.01694e+02
1.16000e+03 1.31876e+00 1.06888e-05 1.15793e+02
1.17000e+03 1.31857e+00 1.11952e-05 1.20241e+02
1.18000e+03 1.31837e+00 1.16033e-05 1.23569e+02
1.19000e+03 1.31816e+00 1.18122e-05 1.24736e+02
1.20000e+03 1.31801e+00 1.19950e-05 1.25611e+02
1.21000e+03 1.31780e+00 1.19058e-05 1.23647e+02
1.22000e+03 1.31764e+00 1.17902e-05 1.21442e+02
1.23000e+03 1.31743e+00 1.16025e-05 1.18537e+02
1.24000e+03 1.31726e+00 1.13889e-05 1.15417e+02
1.25000e+03 1.31704e+00 1.10022e-05 1.10606e+02
1.26000e+03 1.31687e+00 1.07907e-05 1.07619e+02
1.27000e+03 1.31665e+00 1.09049e-05 1.07901e+02
1.28000e+03 1.31647e+00 1.13944e-05 1.11864e+02
1.29000e+03 1.31623e+00 1.22115e-05 1.18957e+02
1.30000e+03 1.31605e+00 1.40020e-05 1.35349e+02
1.31000e+03 1.31587e+00 1.63904e-05 1.57228e+02
1.32000e+03 1.31562e+00 1.91201e-05 1.82023e+02
