R P dT
+5.2632e+00 +1.4300e+02 +4.5666e+01
+5.7368e+00 +1.4300e+02 +4.5666e+01
+6.2105e+00 +1.4300e+02 +4.5666e+01
+6.6842e+00 +1.4300e+02 +4.5666e+01
+7.1579e+00 +1.4300e+02 +4.5666e+01
+7.6316e+00 +1.4300e+02 +4.5666e+01
+8.1053e+00 +1.4300e+02 +4.5666e+01
+8.5789e+00 +1.4300e+02 +4.5666e+01
+9.0526e+00 +1.4300e+02 +4.5666e+01
+9.5263e+00 +1.4300e+02 +4.5666e+01
+1.0000e+01 +1.4300e+02 +4.5666e+01
+1.0000e+00 +1.5250e+02 +4.8700e+01
+1.4737e+00 +1.5250e+02 +4.8700e+01
+1.9474e+00 +1.5250e+02 +4.8700e+01
+2.4211e+00 +1.5250e+02 +4.8700e+01
+2.8947e+00 +1.5250e+02 +4.8700e+01
+3.3684e+00 +1.5250e+02 +4.8700e+01
+3.8421e+00 +1.5250e+02 +4.8700e+01
+4.3158e+00 +1.5250e+02 +4.8700e+01
+4.7895e+00 +1.5250e+02 +4.8700e+01
+5.2632e+00 +1.5250e+02 +4.8700e+01
+5.7368e+00 +1.5250e+02 +4.8700e+01
+6.2105e+00 +1.5250e+02 +4.8700e+01
+6.6842e+00 +1.5250e+02 +4.8700e+01
+7.1579e+00 +1.5250e+02 +4.8700e+01
+7.6316e+00 +1.5250e+02 +4.8700e+01
+8.1053e+00 +1.5250e+02 +4.8700e+01
+8.5789e+00 +1.5250e+02 +4.8700e+01
+9.0526e+00 +1.5250e+02 +4.8700e+01
+9.5263e+00 +1.5250e+02 +4.8700e+01
+1.0000e+01 +1.5250e+02 +4.8699e+01
+1.0000e+00 +1.6200e+02 +5.1734e+01
+1.4737e+00 +1.6200e+02 +5.1734e+01
+1.9474e+00 +1.6200e+02 +5.1734e+01
+2.4211e+00 +1.6200e+02 +5.1734e+01
+2.8947e+00 +1.6200e+02 +5.1734e+01
+3.3684e+00 +1.6200e+02 +5.1734e+01
+3.8421e+00 +1.6200e+02 +5.1734e+01
+4.3158e+00 +1.6200e+02 +5.1734e+01
+4.7895e+00 +1.6200e+02 +5.1734e+01
+5.2632e+00 +1.6200e+02 +5.1734e+01
+5.7368e+00 +1.6200e+02 +5.1734e+01
+6.2105e+00 +1.6200e+02 +5.1734e+01
+6.6842e+00 +1.6200e+02 +5.1734e+01
+7.1579e+00 +1.6200e+02 +5.1734e+01
+7.6316e+00 +1.6200e+02 +5.1733e+01
+8.1053e+00 +1.6200e+02 +5.1733e+01
+8.5789e+00 +1.6200e+02 +5.1733e+01
+9.0526e+00 +1.6200e+02 +5.1733e+01
+9.5263e+00 +1.6200e+02 +5.1733e+01
+1.0000e+01 +1.6200e+02 +5.1733e+01
+1.0000e+00 +1.7150e+02 +5.4768e+01
+1.4737e+00 +1.7150e+02 +5.4768e+01
+1.9474e+00 +1.7150e+02 +5.4768e+01
+2.4211e+00 +1.7150e+02 +5.4768e+01
+2.8947e+00 +1.7150e+02 +5.4768e+01
+3.3684e+00 +1.7150e+02 +5.4768e+01
+3.8421e+00 +1.7150e+02 +5.4768e+01
+4.3158e+00 +1.7150e+02 +5.4768e+01
+4.7895e+00 +1.7150e+02 +5.4768e+01
+5.2632e+00 +1.7150e+02 +5.4767e+01
+5.7368e+00 +1.7150e+02 +5.4767e+01
+6.2105e+00 +1.7150e+02 +5.4767e+01
+6.6842e+00 +1.7150e+02 +5.4767e+01
+7.1579e+00 +1.7150e+02 +5.4767e+01
+7.6316e+00 +1.7150e+02 +5.4767e+01
+8.1053e+00 +1.7150e+02 +5.4767e+01
+8.5789e+00 +1.7150e+02 +5.4767e+01
+9.0526e+00 +1.7150e+02 +5.4767e+01
+9.5263e+00 +1.7150e+02 +5.4767e+01
+1.0000e+01 +1.7150e+02 +5.4767e+01
+1.0000e+00 +1.8100e+02 +5.7802e+01
+1.4737e+00 +1.8100e+02 +5.7802e+01
+1.9474e+00 +1.8100e+02 +5.7802e+01
+2.4211e+00 +1.8100e+02 +5.7802e+01
+2.8947e+00 +1.8100e+02 +5.7802e+01
+3.3684e+00 +1.8100e+02 +5.7801e+01
+3.8421e+00 +1.8100e+02 +5.7801e+01
+4.3158e+00 +1.8100e+02 +5.7801e+01
+4.7895e+00 +1.8100e+02 +5.7801e+01
+5.2632e+00 +1.8100e+02 +5.7801e+01
+5.7368e+00 +1.8100e+02 +5.7801e+01
+6.2105e+00 +1.8100e+02 +5.7801e+01
+6.6842e+00 +1.8100e+02 +5.7801e+01
+7.1579e+00 +1.8100e+02 +5.7801e+01
+7.6316e+00 +1.8100e+02 +5.7801e+01
+8.1053e+00 +1.8100e+02 +5.7801e+01
+8.5789e+00 +1.8100e+02 +5.7801e+01
+9.0526e+00 +1.8100e+02 +5.7801e+01
+9.5263e+00 +1.8100e+02 +5.7801e+01
+1.0000e+01 +1.8100e+02 +5.7801e+01
+1.0000e+00 +1.9050e+02 +6.0836e+01
+1.4737e+00 +1.9050e+02 +6.0836e+01
+1.9474e+00 +1.9050e+02 +6.0835e+01
+2.4211e+00 +1.9050e+02 +6.0835e+01
+2.8947e+00 +1.9050e+02 +6.0835e+01
+3.3684e+00 +1.9050e+02 +6.0835e+01
+3.8421e+00 +1.9050e+02 +6.0835e+01
+4.3158e+00 +1.9050e+02 +6.0835e+01
+4.7895e+00 +1.9050e+02 +6.0835e+01
+5.2632e+00 +1.9050e+02 +6.0835e+01
+5.7368e+00 +1.9050e+02 +6.0835e+01
+6.2105e+00 +1.9050e+02 +6.0835e+01
+6.6842e+00 +1.9050e+02 +6.0835e+01
+7.1579e+00 +1.9050e+02 +6.0835e+01
+7.6316e+00 +1.9050e+02 +6.0835e+01
+8.1053e+00 +1.9050e+02 +6.0835e+01
+8.5789e+00 +1.9050e+02 +6.0835e+01
+9.0526e+00 +1.9050e+02 +6.0835e+01
+9.5263e+00 +1.9050e+02 +6.0834e+01
+1.0000e+01 +1.9050e+02 +6.0834e+01
+1.0000e+00 +2.0000e+02 +6.3869e+01
+1.4737e+00 +2.0000e+02 +6.3869e+01
+1.9474e+00 +2.0000e+02 +6.3869e+01
+2.4211e+00 +2.0000e+02 +6.3869e+01
+2.8947e+00 +2.0000e+02 +6.3869e+01
+3.3684e+00 +2.0000e+02 +6.3869e+01
+3.8421e+00 +2.0000e+02 +6.3869e+01
+4.3158e+00 +2.0000e+02 +6.3869e+01
+4.7895e+00 +2.0000e+02 +6.3869e+01
+5.2632e+00 +2.0000e+02 +6.3869e+01
+5.7368e+00 +2.0000e+02 +6.3869e+01
+6.2105e+00 +2.0000e+02 +6.3869e+01
+6.6842e+00 +2.0000e+02 +6.3869e+01
+7.1579e+00 +2.0000e+02 +6.3869e+01
+7.6316e+00 +2.0000e+02 +6.3868e+01
+8.1053e+00 +2.0000e+02 +6.3868e+01
+8.5789e+00 +2.0000e+02 +6.3868e+01
+9.0526e+00 +2.0000e+02 +6.3868e+01
+9.5263e+00 +2.0000e+02 +6.3868e+01
+1.0000e+01 +2.0000e+02 +6.3868e+01
