f,raw,fit
+9.14000e+02,+5.57964e-10,+7.45719e-10
+9.18000e+02,+5.04719e-10,+7.39375e-10
+9.22000e+02,+7.24578e-10,+7.33110e-10
+9.26000e+02,+3.91917e-10,+7.26924e-10
+9.30000e+02,+8.37182e-10,+7.20816e-10
+9.34000e+02,+6.30790e-10,+7.14783e-10
+9.38000e+02,+5.94183e-10,+7.08826e-10
+9.42000e+02,+1.08670e-09,+7.02942e-10
+9.46000e+02,+5.47506e-10,+6.97131e-10
+9.50000e+02,+6.25848e-10,+6.91391e-10
+9.54000e+02,+4.91411e-10,+6.85721e-10
+9.58000e+02,+6.26416e-10,+6.80120e-10
+9.62000e+02,+5.63383e-10,+6.74587e-10
+9.66000e+02,+7.42089e-10,+6.69120e-10
+9.70000e+02,+8.48326e-10,+6.63720e-10
+9.74000e+02,+8.23657e-10,+6.58384e-10
+9.78000e+02,+5.51159e-10,+6.53112e-10
+9.82000e+02,+1.30495e-09,+6.47902e-10
+9.86000e+02,+5.37133e-10,+6.42754e-10
+9.90000e+02,+7.82896e-10,+6.37667e-10
+9.94000e+02,+6.30758e-10,+6.32640e-10
+9.98000e+02,+5.26137e-10,+6.27672e-10
+1.00200e+03,+6.33755e-10,+6.22761e-10
+1.00600e+03,+5.25056e-10,+6.17908e-10
+1.01000e+03,+4.41757e-10,+6.13110e-10
+1.01400e+03,+4.31879e-10,+6.08368e-10
+1.01800e+03,+7.23980e-10,+6.03681e-10
+1.02200e+03,+3.46561e-10,+5.99047e-10
+1.02600e+03,+7.07971e-10,+5.94466e-10
+1.03000e+03,+6.15196e-10,+5.89937e-10
+1.03400e+03,+9.36027e-10,+5.85459e-10
+1.03800e+03,+6.43747e-10,+5.81032e-10
+1.04200e+03,+6.55157e-10,+5.76655e-10
+1.04600e+03,+6.07000e-10,+5.72326e-10
+1.05000e+03,+5.51145e-10,+5.68046e-10
+1.05400e+03,+5.86890e-10,+5.63813e-10
+1.05800e+03,+5.95708e-10,+5.59628e-10
+1.06200e+03,+3.24114e-10,+5.55488e-10
+1.06600e+03,+3.67311e-10,+5.51394e-10
+1.07000e+03,+6.95368e-10,+5.47345e-10
+1.07400e+03,+5.07706e-10,+5.43340e-10
+1.07800e+03,+2.67849e-10,+5.39379e-10
+1.08200e+03,+5.38576e-10,+5.35460e-10
+1.08600e+03,+6.31999e-10,+5.31584e-10
+1.09000e+03,+4.75245e-10,+5.27749e-10
+1.09400e+03,+5.27350e-10,+5.23956e-10
+1.09800e+03,+4.01036e-10,+5.20203e-10
+1.10200e+03,+6.14357e-10,+5.16491e-10
+1.10600e+03,+6.56732e-10,+5.12817e-10
+1.11000e+03,+4.64708e-10,+5.09183e-10
+1.11400e+03,+6.27484e-10,+5.05586e-10
+1.11800e+03,+4.32835e-10,+5.02028e-10
+1.12200e+03,+4.77285e-10,+4.98507e-10
+1.12600e+03,+4.62945e-10,+4.95022e-10
+1.13000e+03,+5.80950e-10,+4.91574e-10
+1.13400e+03,+5.72128e-10,+4.88162e-10
+1.13800e+03,+5.86246e-10,+4.84784e-10
+1.14200e+03,+4.97078e-10,+4.81442e-10
+1.14600e+03,+2.69618e-10,+4.78134e-10
+1.15000e+03,+4.47866e-10,+4.74859e-10
+1.15400e+03,+4.81218e-10,+4.71618e-10
+1.15800e+03,+6.62085e-10,+4.68410e-10
+1.16200e+03,+3.03842e-10,+4.65235e-10
+1.16600e+03,+8.68490e-10,+4.62091e-10
+1.17000e+03,+7.91365e-10,+4.58979e-10
+1.17400e+03,+4.09799e-10,+4.55898e-10
+1.17800e+03,+1.75515e-10,+4.52848e-10
+1.18200e+03,+8.38449e-10,+4.49829e-10
+1.18600e+03,+4.94151e-10,+4.46839e-10
+1.19000e+03,+2.04672e-10,+4.43879e-10
+1.19400e+03,+5.69840e-10,+4.40948e-10
+1.19800e+03,+4.52011e-10,+4.38046e-10
+1.20200e+03,+2.06132e-10,+4.35172e-10
+1.20600e+03,+3.44186e-10,+4.32327e-10
+1.21000e+03,+6.04787e-10,+4.29509e-10
+1.21400e+03,+4.11210e-10,+4.26718e-10
+1.21800e+03,+2.95504e-10,+4.23955e-10
+1.22200e+03,+4.08743e-10,+4.21218e-10
+1.22600e+03,+3.36419e-10,+4.18507e-10
+1.23000e+03,+4.38102e-10,+4.15822e-10
+1.23400e+03,+4.47992e-10,+4.13164e-10
+1.23800e+03,+1.56355e-10,+4.10530e-10
+1.24200e+03,+4.12436e-10,+4.07921e-10
+1.24600e+03,+1.83592e-10,+4.05337e-10
+1.25000e+03,+4.84643e-10,+4.02778e-10
+1.25400e+03,+3.42098e-10,+4.00242e-10
+1.25800e+03,+4.88676e-10,+3.97730e-10
+1.26200e+03,+2.24815e-10,+3.95242e-10
+1.26600e+03,+3.29090e-10,+3.92777e-10
+1.27000e+03,+2.88080e-10,+3.90335e-10
+1.27400e+03,+3.38697e-10,+3.87915e-10
+1.27800e+03,+4.77399e-10,+3.85518e-10
+1.28200e+03,+6.66831e-10,+3.83143e-10
+1.28600e+03,+5.34382e-10,+3.80790e-10
+1.29000e+03,+3.26660e-10,+3.78458e-10
+1.29400e+03,+3.08146e-10,+3.76147e-10
+1.29800e+03,+4.09710e-10,+3.73858e-10
+1.30200e+03,+2.05101e-10,+3.71589e-10
+1.30600e+03,+2.46934e-10,+3.69341e-10
+1.31000e+03,+2.78081e-10,+3.67113e-10
+1.31400e+03,+2.76527e-10,+3.64905e-10
+1.31800e+03,+4.68062e-10,+3.62717e-10
+1.32200e+03,+6.76253e-10,+3.60548e-10
+1.32600e+03,+6.80014e-10,+3.58399e-10
+1.33000e+03,+1.36687e-10,+3.56269e-10
+1.33400e+03,+2.97952e-10,+3.54157e-10
+1.33800e+03,+3.23154e-10,+3.52065e-10
+1.34200e+03,+2.80507e-10,+3.49991e-10
+1.34600e+03,+2.85191e-10,+3.47935e-10
+1.35000e+03,+3.27998e-10,+3.45897e-10
+1.35400e+03,+2.28407e-10,+3.43876e-10
+1.35800e+03,+4.54336e-10,+3.41874e-10
+1.36200e+03,+4.66403e-10,+3.39888e-10
+1.36600e+03,+3.53777e-10,+3.37920e-10
+1.37000e+03,+2.61755e-10,+3.35969e-10
