time duty_50 duty_70 duty_100
+1.4224e+00 +4.9871e+00 +2.9871e+00 +9.8714e-01
+1.4267e+00 +4.9946e+00 +2.9946e+00 +9.9461e-01
+1.4309e+00 +4.9329e+00 +2.9329e+00 +9.3294e-01
+1.4351e+00 +4.8064e+00 +2.8064e+00 +8.0642e-01
+1.4393e+00 +4.6238e+00 +2.6238e+00 +6.2384e-01
+1.4435e+00 +4.3979e+00 +2.3979e+00 +3.9790e-01
+1.4477e+00 +4.1443e+00 +2.1443e+00 +1.4430e-01
+1.4519e+00 +3.8807e+00 +1.8807e+00 -1.1933e-01
+1.4561e+00 +3.6253e+00 +1.6253e+00 -3.7467e-01
+1.4603e+00 +3.3960e+00 +1.3960e+00 -6.0396e-01
+1.4645e+00 +3.2087e+00 +1.2087e+00 -7.9127e-01
+1.4687e+00 +3.0764e+00 +1.0764e+00 -9.2358e-01
+1.4729e+00 +3.0083e+00 +1.0083e+00 -9.9168e-01
+1.4772e+00 +3.0091e+00 +1.0091e+00 -9.9085e-01
+1.4814e+00 +3.0789e+00 +1.0789e+00 -9.2115e-01
+1.4856e+00 +3.2126e+00 +1.2126e+00 -7.8741e-01
+1.4898e+00 +3.4011e+00 +1.4011e+00 -5.9893e-01
+1.4940e+00 +3.6312e+00 +1.6312e+00 -3.6883e-01
+1.4982e+00 +3.8869e+00 +1.8869e+00 -1.1308e-01
+1.5024e+00 +4.0000e+00 +2.1505e+00 +1.5052e-01
+1.5066e+00 +4.0000e+00 +2.4037e+00 +4.0367e-01
+1.5108e+00 +4.0000e+00 +2.6287e+00 +6.2875e-01
+1.5150e+00 +4.0000e+00 +2.8101e+00 +8.1013e-01
+1.5192e+00 +4.0000e+00 +2.9352e+00 +9.3519e-01
+1.5234e+00 +4.0000e+00 +2.9952e+00 +9.9524e-01
+1.5277e+00 +4.0000e+00 +2.9861e+00 +9.8611e-01
+1.5319e+00 +4.0000e+00 +2.9084e+00 +9.0844e-01
+1.5361e+00 +4.0000e+00 +2.7676e+00 +7.6762e-01
+1.5403e+00 +4.0000e+00 +2.5734e+00 +5.7343e-01
+1.5445e+00 +4.0000e+00 +2.3394e+00 +3.3939e-01
+1.5487e+00 +4.0000e+00 +2.0818e+00 +8.1754e-02
+1.5529e+00 +4.0000e+00 +1.8184e+00 -1.8156e-01
+1.5571e+00 +4.0000e+00 +1.5677e+00 -4.3226e-01
+1.5613e+00 +4.0000e+00 +1.3471e+00 -6.5291e-01
+1.5655e+00 +4.0000e+00 +1.1718e+00 -8.2818e-01
+1.5697e+00 +4.0000e+00 +1.0541e+00 -9.4587e-01
+1.5739e+00 +4.0000e+00 +1.0022e+00 -9.9782e-01
+1.5782e+00 +4.0000e+00 +1.0196e+00 -9.8040e-01
+1.5824e+00 +4.0000e+00 +1.1052e+00 -8.9483e-01
+1.5866e+00 +4.0000e+00 +1.2529e+00 -7.4706e-01
+1.5908e+00 +4.0000e+00 +1.4526e+00 -5.4736e-01
+1.5950e+00 +4.0000e+00 +1.6904e+00 -3.0962e-01
+1.5992e+00 +4.0000e+00 +1.9497e+00 -5.0345e-02
+1.6034e+00 +4.0000e+00 +2.2124e+00 +2.1243e-01
+1.6076e+00 +4.0000e+00 +2.4604e+00 +4.6043e-01
+1.6118e+00 +4.0000e+00 +2.6764e+00 +6.7643e-01
+1.6160e+00 +4.0000e+00 +2.8454e+00 +8.4541e-01
+1.6202e+00 +4.0000e+00 +2.9556e+00 +9.5562e-01
+1.6244e+00 +4.0000e+00 +2.9994e+00 +9.9940e-01
